label,EconomicsUniqueWordCount,EntertainmentUniqueWordCount,InternationalUniqueWordCount,ScienceAndTechnologyUniqueWordCount,SportsUniqueWordCount,EconomicsRelatedWordCount,EntertainmentRelatedWordCount,ScienceAndTechnologyRelatedWordCount,SportsRelatedWordCount
0,5,6,7,4,5,0,0,1,0
0,152,25,30,43,36,14,0,3,0
0,17,15,12,15,4,3,0,0,0
0,122,20,27,32,23,8,0,0,1
0,75,44,62,44,42,2,0,13,0
0,20,12,14,19,3,3,0,2,0
0,57,19,36,32,11,4,0,2,0
0,77,62,71,65,51,1,0,7,1
0,21,5,13,16,5,1,0,1,1
0,23,1,6,10,4,6,0,0,0
0,17,23,35,22,16,0,0,0,0
0,121,20,29,49,18,13,0,2,0
0,68,7,7,18,14,2,0,0,0
0,69,16,17,20,23,6,0,0,0
0,108,11,25,31,15,12,0,0,1
0,59,5,10,15,11,4,0,0,0
0,105,34,61,95,41,29,0,0,0
0,60,29,33,36,21,0,0,1,1
0,100,21,23,33,35,5,0,0,0
0,74,6,18,22,14,2,0,1,0
0,23,11,6,11,11,2,0,0,0
0,21,11,6,11,5,5,0,1,0
0,87,51,58,78,41,8,0,1,0
0,15,17,19,18,19,2,0,0,0
0,52,18,23,22,18,4,0,0,0
0,14,4,11,10,3,6,0,2,0
0,56,21,24,39,11,10,0,1,0
0,136,55,64,101,31,22,0,1,0
0,21,13,10,11,6,3,0,2,0
0,15,6,6,11,6,0,0,0,0
0,12,11,10,8,5,0,0,0,0
0,98,48,72,64,45,9,0,2,1
0,140,74,84,106,68,24,0,1,2
0,102,16,13,23,26,5,0,0,0
0,11,13,10,8,8,3,0,0,0
0,28,12,18,24,6,5,1,0,0
0,12,8,6,5,3,1,0,0,0
0,29,21,22,25,20,5,0,1,0
0,39,31,45,44,20,2,0,0,0
0,4,4,3,5,5,0,0,1,0
0,169,27,32,55,37,17,0,1,0
0,62,25,43,49,21,8,0,1,0
0,68,28,58,49,29,3,0,3,0
0,10,7,9,5,4,0,0,0,0
0,6,5,4,5,3,0,0,0,0
0,61,33,36,57,25,5,0,1,0
0,51,29,38,51,24,6,0,0,0
0,90,23,17,27,31,5,0,0,0
0,11,8,7,6,2,0,0,0,0
0,60,37,53,58,23,0,0,5,0
0,28,13,21,20,14,5,0,1,0
0,38,3,12,17,4,7,0,3,0
0,147,12,19,44,21,21,0,0,0
0,12,8,6,7,2,1,0,0,0
0,46,10,24,19,9,0,0,0,0
0,30,20,27,25,10,12,0,0,0
0,14,6,17,22,9,1,0,0,1
0,67,38,40,50,33,17,0,1,1
0,24,19,22,25,12,3,0,8,0
0,10,8,6,6,6,1,0,0,0
0,29,8,10,17,5,7,0,2,0
0,29,28,46,29,24,1,0,2,0
0,43,17,36,44,10,9,0,0,1
0,15,12,6,6,5,2,0,0,0
0,18,3,8,10,3,5,0,3,0
0,9,6,2,8,1,1,0,0,0
0,17,13,20,27,9,0,0,3,0
0,22,11,17,21,12,1,0,0,0
0,4,5,2,3,1,2,0,0,0
0,98,48,73,88,45,6,0,3,1
0,132,49,64,85,44,33,0,4,0
0,37,18,29,31,16,5,0,1,0
0,6,9,8,3,4,0,0,1,0
0,14,11,24,17,8,6,0,0,0
0,60,14,11,15,17,5,0,0,1
0,31,20,32,26,13,1,0,1,0
0,27,20,22,21,15,3,0,0,0
0,8,4,5,4,2,0,0,0,0
0,48,12,9,14,11,4,0,0,0
